Date,Category,Net worth,Assets,Real estate,Consumer durables,Corporate equities and mutual fund shares,DB pension entitlements,DC pension entitlements,Unincorporated businesses,Other assets,Liabilities,Home mortgages,Consumer credit,Other liabilities
2015:Q1,Silent,21947919,23086255,5048990,892641,6178738,2898396,575009,2110075,5382406,1138336,746968,200523,190845
2015:Q1,BabyBoom,46900693,52167989,10163184,2159536,10767564,10306432,5454516,5101126,8215630,5267295,3845349,1013471,408475
2015:Q1,GenX,12982389,18127252,5513817,1279143,3098628,1660325,2084250,1901126,2589963,5144863,3754243,1282576,108044
2015:Q1,Millennial,1647347,3441350,1246672,541019,334531,159048,233078,201121,725881,1794003,954376,810532,29095
2015:Q2,Silent,21846952,22993040,5102528,887110,6143742,2883658,565254,2177517,5233231,1146088,744448,202979,198661
2015:Q2,BabyBoom,47511193,52761603,10315188,2179894,10895278,10345850,5459553,5296734,8269106,5250410,3821981,1019025,409404
2015:Q2,GenX,13114594,18314251,5664994,1293467,3073733,1711626,2079771,1918511,2572149,5199658,3777325,1309778,112555
2015:Q2,Millennial,1774403,3647210,1333844,574615,332984,171069,242295,228144,764259,1872806,992857,845959,33990
2015:Q3,Silent,21393580,22542946,5132524,888304,5633276,2864226,543198,2206941,5274477,1149366,741657,203785,203924
2015:Q3,BabyBoom,47427383,52627879,10499132,2195350,10232181,10353213,5290504,5430043,8627456,5200496,3792958,1020787,386751
2015:Q3,GenX,12730471,17995207,5810530,1292538,2699068,1761528,1929404,1914296,2587843,5264735,3803697,1344346,116692
2015:Q3,Millennial,1743957,3714831,1412306,587504,257631,185861,228898,242052,800580,1970874,1040024,894149,36701
