Date,Category,Net worth,Assets,Real estate,Consumer durables,Corporate equities and mutual fund shares,DB pension entitlements,DC pension entitlements,Unincorporated businesses,Other assets,Liabilities,Home mortgages,Consumer credit,Other liabilities
2011:Q2,age40to54,17483756,23018391,6153239,1486529,3639337,3262098,2532629,2141287,3803273,5534635,4336655,996109,201871
2011:Q2,ageunder40,2712293,6136361,2274109,910817,641379,390497,471747,456390,991422,3424068,2388752,994474,40842
2011:Q3,age70plus,13439769,14243211,3309951,715201,2666965,1832884,276073,1265797,4176340,803442,555680,132743,115019
2011:Q3,age55to69,29011603,32471229,6594620,1520680,4946846,6989966,2841000,2821011,6757106,3459625,2593822,546590,319213
2011:Q3,age40to54,16953299,22450689,6111241,1487742,3219877,3233846,2340829,2210225,3846929,5497390,4292607,1006192,198591
2011:Q3,ageunder40,2594008,6018583,2275624,907006,517079,389763,441134,474647,1013330,3424575,2366284,1016650,41641
2011:Q4,age70plus,13834329,14635464,3325698,721731,2870639,1854303,293963,1282651,4286479,801135,554562,137677,108896
2011:Q4,age55to69,29629387,33115079,6586840,1531690,5260258,7094777,2962315,2854697,6824502,3485692,2609689,565108,310895
2011:Q4,age40to54,17131034,22584358,5964492,1474309,3359920,3226405,2441830,2286850,3830552,5453324,4241454,1015097,196773
2011:Q4,ageunder40,2728674,6158673,2248938,916924,577778,393342,470367,498266,1053057,3429999,2349234,1038343,42422
2012:Q1,age70plus,14398094,15221524,3357873,736939,3313292,1878974,321946,1263244,4349256,823430,567587,138037,117806
2012:Q1,age55to69,30458800,33953695,6570334,1543827,5901578,7210693,3161263,2827366,6738635,3494895,2606569,560597,327729
2012:Q1,age40to54,17417035,22807603,5787854,1459662,3647612,3222732,2602768,2336764,3750211,5390568,4198098,1003832,188638
2012:Q1,ageunder40,2948253,6349175,2220845,938488,692328,397828,512049,503189,1084448,3400922,2315707,1042575,42640
2012:Q2,age70plus,14419966,15249519,3394750,737787,3163874,1891712,315745,1282633,4463019,829553,569352,143010,117191
2012:Q2,age55to69,30518030,34037966,6641743,1560376,5731919,7291917,3101217,2864799,6845995,3519936,2615736,577294,326906
2012:Q2,age40to54,17335681,22672429,5811367,1452276,3552671,3201175,2552361,2416970,3685609,5336747,4144724,1008992,183031
2012:Q2,ageunder40,3009083,6404647,2274141,938524,675648,398801,511890,529028,1076614,3395564,2292017,1061173,42374
2012:Q3,age70plus,14926167,15753739,3455343,740270,3390497,1911945,332159,1320926,4602599,827571,560644,147057,119870
2012:Q3,age55to69,31286113,34855543,6765222,1575814,6077685,7395123,3209220,2933168,6899311,3569431,2639254,596684,333493
2012:Q3,age40to54,17663893,22945762,5820789,1443443,3694001,3189855,2638759,2511809,3647106,5281869,4085501,1019225,177143
2012:Q3,ageunder40,3196684,6607119,2318428,941081,742990,401809,539612,565392,1097807,3410435,2280233,1087487,42715
2012:Q4,age70plus,15148030,15997933,3517505,747963,3412989,1929241,336994,1329775,4723466,849903,582320,156812,110771
2012:Q4,age55to69,31720529,35284239,6872113,1593930,6142387,7488512,3234017,2950923,7002357,3563710,2628572,617151,317987
2012:Q4,age40to54,17733274,22988824,5797370,1436195,3706886,3174015,2655630,2585824,3632905,5255550,4053669,1031037,170844
2012:Q4,ageunder40,3367010,6759022,2346889,949353,765051,403803,553061,586385,1154480,3392011,2242433,1107905,41673
2013:Q1,age70plus,15918125,16729155,3643492,759105,3922709,1996333,360323,1332763,4714431,811030,542324,150602,118104
2013:Q1,age55to69,32860577,36503725,7088416,1606579,6873858,7729787,3387130,2957331,6860624,3643148,2686655,622233,334260
2013:Q1,age40to54,18272610,23425300,5809168,1423559,4009627,3227151,2779374,2656863,3519558,5152689,3968161,1018885,165643
2013:Q1,ageunder40,3637283,7057981,2401499,963846,895496,419755,589114,604458,1183813,3420698,2255758,1122053,42887
2013:Q2,age70plus,16144531,16967926,3751811,760105,3976407,2059014,365505,1405525,4649559,823394,543952,156210,123232
2013:Q2,age55to69,33239288,36933027,7288796,1619138,6977882,7951882,3407863,3078798,6608668,3693739,2703545,642833,347361
2013:Q2,age40to54,18464265,23576009,5903797,1413753,4037012,3271219,2796716,2777925,3375588,5111744,3926949,1022314,162481
2013:Q2,ageunder40,3902561,7326074,2495274,963825,924258,435986,602902,660219,1243610,3423513,2240152,1138835,44526
2013:Q3,age70plus,16695282,17525513,3841556,759339,4224654,2127105,387010,1472393,4713456,830231,546745,162113,121373
2013:Q3,age55to69,34268920,38007355,7518960,1638059,7344924,8187312,3544459,3187786,6585855,3738435,2732277,663824,342334
2013:Q3,age40to54,18930999,24024743,5993379,1410958,4175606,3321640,2907054,2894361,3321745,5093744,3902446,1037146,154152
2013:Q3,ageunder40,4189988,7637935,2599172,958106,995654,453305,636024,712880,1282793,3447946,2237737,1167214,42995
2013:Q4,age70plus,17361908,18257002,3964299,767174,4595241,2240307,420747,1547069,4722165,895094,559056,169763,166275
2013:Q4,age55to69,35368097,39203529,7637477,1648079,7837452,8414235,3765480,3307600,6593206,3835432,2735617,675791,424024
2013:Q4,age40to54,19229175,24333176,6089247,1409498,4311351,3348460,3013224,2849654,3311742,5104002,3888249,1058847,156906
2013:Q4,ageunder40,4223324,7672666,2596763,952582,999777,462892,657499,704258,1298894,3449342,2212122,1186066,51154
2014:Q1,age70plus,18009408,18940919,4094960,776661,4939519,2308837,435362,1578316,4807264,931511,579071,172147,180293
