Date,Category,Assets,Nonfinancial assets,Real estate,Consumer durables,Financial assets,Deposits,Money market fund shares,Debt securities,U.S. government and municipal securities,Corporate and foreign bonds,Loans (Assets),Other loans and advances (Assets),Mortgages,Corporate equities and mutual fund shares,Life insurance reserves,Annuities,DC pension entitlements,DB pension entitlements,Miscellaneous other equity,Miscellaneous assets,Liabilities,Loans (Liabilities),Home mortgages,Consumer credit,Depository institutions loans n.e.c.,Other loans and advances (Liabilities),Deferred and unpaid life insurance premiums,Net worth,Household count
2001:Q1,Other,1659889,666049,567858,98191,993840,115685,26967,10324,7316,3008,8241,2253,5988,194408,24465,29652,103851,226117,236806,17325,297107,296567,206519,82997,999,6051,540,1362782,4423028
2001:Q2,White,45379676,15130714,12280783,2849931,30248962,3188992,1351889,1100561,710539,390022,727699,637322,90377,8274931,770873,744066,2402939,6460408,4828908,397695,6034200,6018207,4262877,1405157,9282,340891,15994,39345476,80206726
2001:Q2,Black,2036269,836936,624822,212113,1199333,116811,11044,14066,7468,6598,167,0,167,82591,79317,62124,145036,593528,65199,29450,543783,542117,341795,192274,517,7531,1666,1492485,13231346
2001:Q2,Hispanic,1225612,561273,441578,119695,664339,79123,8990,5298,3263,2035,14,0,14,77420,29071,37683,83890,246431,78580,17839,337726,337101,235115,100959,238,788,625,887886,8217076
2001:Q2,Other,1707789,675236,578180,97056,1032554,117460,27852,8447,6483,1964,7979,1934,6044,212863,25553,30891,106015,236672,240861,17961,301550,301015,210231,85859,643,4282,535,1406239,4441702
2001:Q3,White,44618445,15505574,12626814,2878759,29112871,3245915,1415155,1219209,843475,375734,814717,722799,91918,6905618,761334,734392,2170952,6526019,4904816,414745,6239177,6222508,4386521,1419915,15311,400761,16668,38379268,80284975
2001:Q3,Black,2058418,861002,646105,214897,1197416,118735,11554,15283,8789,6494,4349,4284,65,69974,78430,62789,120068,620256,64582,31396,569371,567630,352564,203371,952,10742,1741,1489047,13409996
2001:Q3,Hispanic,1211464,564895,442872,122024,646569,75559,8321,5675,3610,2065,90,75,15,67979,28474,37357,79987,246792,77738,18595,349187,348550,243726,102305,266,2252,636,862277,8324764
2001:Q3,Other,1690343,683187,587507,95680,1007156,120096,29480,9783,8082,1701,8595,2472,6123,176085,25328,31227,96133,246909,244739,18782,308142,307575,214741,88760,1136,2938,567,1382201,4476100
2001:Q4,White,46071509,15817697,12901986,2915711,30253812,3322495,1487648,1126885,751977,374908,776618,682967,93652,7800170,787049,748951,2294524,6627671,4861279,420522,6292755,6276219,4449161,1475932,3254,347872,16536,39778754,80347457
2001:Q4,Black,2157748,900145,680691,219454,1257603,121675,12372,14711,8105,6605,650,588,63,80514,80558,66902,136353,643688,68255,31926,598341,596632,373383,215196,163,7889,1709,1559407,13586407
2001:Q4,Hispanic,1254502,592232,463014,129219,662269,76514,8906,6125,3680,2445,14,0,14,75496,29869,37662,80894,249589,77861,19339,373394,372751,263278,109160,62,251,644,881107,8452762
2001:Q4,Other,1734080,704677,604761,99916,1029402,121596,29349,9787,7076,2711,7640,1961,5679,199531,26842,30878,100331,247496,236712,19239,321067,320492,225963,91540,207,2782,575,1413013,4528625
2002:Q1,White,46675783,16142058,13206011,2936047,30533725,3412550,1456685,1075046,722369,352677,766698,670821,95877,7851048,809110,740666,2396573,6698100,4901103,426147,6396914,6380117,4563294,1469093,911,346819,16797,40278869,80396829
2002:Q1,Black,2241398,931214,708670,222544,1310184,124832,13444,14619,7974,6645,70,0,70,85020,82388,68159,150616,663504,75103,32430,598534,596802,374422,214910,41,7429,1731,1642864,13757977
2002:Q1,Hispanic,1295839,621936,486328,135607,673903,77998,9353,6584,3876,2707,13,0,13,77465,31243,37127,81393,252028,80565,20133,379761,379095,270017,108880,19,180,666,916077,8598067
